Timestamp,How refreshed did you wake up after your night of sleep?,"Is there anything important about or related to your night of sleep that might have affected your sleep quality? If yes, what?",Do you recall being awake for more than 10 minutes during the night?,"If you answered 'Yes' to the previous question, what did you do during this time?",Did anything in particular prevent you from sleeping earlier last night?,"If you answered ‘Yes’ to the previous question, what prevented you from sleeping earlier?",Did any external factors prevent you from sleeping better?,How did you wake up?,"How many minutes before bedtime did you stop exposing yourself to blue light? (bright phone, TV, etc)"
11/20/2022 21:03:40,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/21/2022 13:13:49,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/22/2022 8:16:11,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/23/2022 8:14:59,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/24/2022 8:12:42,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/25/2022 8:21:39,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/26/2022 8:31:47,8,,No,,Yes,Seeing friends ,Nothing,With an alarm,Less than 15 minutes
11/27/2022 9:11:23,7,,No,,Yes,A show,Nothing,Naturally,Less than 15 minutes
11/28/2022 8:42:28,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/29/2022 9:00:23,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
11/30/2022 8:19:40,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/1/2022 7:55:20,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/2/2022 8:16:40,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/3/2022 11:22:23,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/4/2022 9:28:38,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/5/2022 7:48:30,6,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/6/2022 8:27:26,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/7/2022 8:48:30,8,,No,,Yes,Friends,Nothing,With an alarm,Less than 15 minutes
12/8/2022 8:14:41,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/9/2022 7:17:57,6,,No,,Yes,Late flight + settling in,Comfort,With an alarm,Less than 15 minutes
12/10/2022 7:38:47,7,,No,,Yes,Late plans + noise at bedtime,Comfort,With an alarm,Less than 15 minutes
12/11/2022 7:52:46,6,,No,,Yes,Birthday event,Nothing,With an alarm,Less than 15 minutes
12/12/2022 8:20:02,7,,No,,Yes,Coming back home after a trip,Nothing,With an alarm,Less than 15 minutes
12/13/2022 7:54:45,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/14/2022 8:16:42,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/15/2022 7:14:43,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/16/2022 8:31:53,6,,No,,Yes,Friends over at my place,Nothing,Naturally,Less than 15 minutes
12/17/2022 8:29:27,8,,No,,No,,Nothing,Naturally,Less than 15 minutes
12/18/2022 9:02:18,7,,Yes,I stayed in bed trying to sleep,Yes,Friends event,Comfort,Naturally,Less than 15 minutes
12/19/2022 7:10:38,7,,Yes,I stayed in bed trying to sleep,No,,Nothing,With an alarm,Less than 15 minutes
12/20/2022 7:55:29,7,,No,,No,,Nothing,Naturally,Less than 15 minutes
12/21/2022 8:14:39,7,,No,,Yes,Talking with friends ,Nothing,With an alarm,Less than 15 minutes
12/22/2022 8:26:10,7,,No,,Yes,"Comedy club, evening out with friends",Nothing,With an alarm,Less than 15 minutes
12/23/2022 7:18:28,7,,No,,Yes,Evening out with friends ,Nothing,With an alarm,Less than 15 minutes
12/24/2022 7:10:35,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/25/2022 8:31:06,5,,No,,Yes,Christmas eve,Nothing,Naturally,Less than 15 minutes
12/26/2022 7:51:08,7,,No,,Yes,Out with friends ,Nothing,With an alarm,Less than 15 minutes
12/27/2022 7:18:14,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
12/28/2022 8:01:16,5,,No,,Yes,Social gathering ,Nothing,With an alarm,Less than 15 minutes
12/29/2022 8:13:37,7,,Yes,I stayed in bed trying to sleep,Yes,Friends gathering ,Nothing,With an alarm,Less than 15 minutes
