Timestamp,Did you wake up refreshed after your night of sleep?,Do you recall being awake for more than 10 minutes during the night?,"If you answered 'Yes' to the previous question, what did you do during this time?",Did anything in particular prevent you from sleeping earlier last night?,Did anything in particular prevent you from sleeping better?,How did you wake up?,"How many minutes before bedtime did you stop exposing yourself to blue light? (bright phone, TV, etc)","Is there anything important about or related to your night of sleep that was not covered in any of the questions in this questionnaire? If yes, what?"
6/19/2022 8:01:31,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
6/20/2022 8:02:33,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
6/21/2022 8:28:53,8,Yes,I went to the toilet,No,Nothing,Naturally,Less than 15 minutes,
6/22/2022 7:23:07,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
6/23/2022 7:27:26,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
6/24/2022 7:01:23,7,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
6/25/2022 8:07:30,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
6/26/2022 4:07:17,6,No,,No,Nothing,With an alarm,Less than 15 minutes,I had to wake up early to catch a plane
6/27/2022 10:09:59,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
6/28/2022 11:06:34,6,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
6/29/2022 11:32:45,5,Yes,I went to the toilet,Yes,Nothing,With an alarm,Less than 15 minutes,
6/30/2022 11:11:40,6,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/1/2022 20:35:13,1,No,,Yes,Comfort,Someone or something else woke me up,Less than 15 minutes,
7/2/2022 8:06:27,9,No,,No,Nothing,Naturally,Less than 15 minutes,
7/3/2022 6:15:37,6,No,,No,Nothing,Naturally,Less than 15 minutes,
7/4/2022 7:35:46,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
7/5/2022 7:31:47,5,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/6/2022 8:30:44,6,No,,Yes,Nothing,Someone or something else woke me up,Less than 15 minutes,
7/7/2022 4:55:26,4,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,I had to wake up early to catch a plane
7/8/2022 21:12:33,5,No,,No,Nothing,With an alarm,Less than 15 minutes,I had to wake up early to catch a plane
7/9/2022 6:43:38,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
7/10/2022 6:50:28,6,Yes,I went to the toilet,Yes,Temperature,With an alarm,Less than 15 minutes,
7/11/2022 7:20:37,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
7/12/2022 7:13:48,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
7/13/2022 8:12:27,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/14/2022 7:58:55,5,Yes,"I used a smart device (phone, laptop...), I went to the toilet",Yes,Nothing,With an alarm,Less than 15 minutes,
7/15/2022 8:40:17,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/16/2022 8:49:28,6,Yes,I stayed in bed trying to sleep,Yes,Noise,Naturally,Less than 15 minutes,
7/17/2022 8:15:06,6,Yes,I stayed in bed trying to sleep,No,Temperature,With an alarm,Less than 15 minutes,
7/18/2022 7:52:12,8,Yes,"I stayed in bed trying to sleep, I went to the toilet",No,Nothing,Naturally,Less than 15 minutes,
7/19/2022 7:47:25,9,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/20/2022 8:15:01,7,No,,Yes,Nothing,Naturally,Less than 15 minutes,
7/21/2022 9:01:02,7,No,,Yes,Nothing,Naturally,Less than 15 minutes,
7/22/2022 8:03:25,7,No,,Yes,Nothing,Naturally,Less than 15 minutes,
7/23/2022 7:03:25,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/24/2022 7:20:47,7,Yes,"I stayed in bed trying to sleep, I went to the toilet",No,Nothing,With an alarm,Less than 15 minutes,
7/25/2022 9:13:48,8,Yes,I stayed in bed trying to sleep,Yes,Nothing,With an alarm,Less than 15 minutes,
7/26/2022 7:54:26,6,Yes,I stayed in bed trying to sleep,Yes,Nothing,With an alarm,Less than 15 minutes,I was sick with an upset stomach
7/28/2022 8:08:11,7,Yes,"I used a smart device (phone, laptop...), I went to the toilet",No,Temperature,With an alarm,Less than 15 minutes,
7/29/2022 8:43:17,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
7/30/2022 8:42:25,7,Yes,I went to the toilet,No,Temperature,Naturally,Less than 15 minutes,
7/31/2022 8:16:59,8,No,,No,Temperature,With an alarm,Less than 15 minutes,
8/1/2022 8:26:31,8,Yes,I went to the toilet,No,Temperature,With an alarm,Less than 15 minutes,
8/2/2022 9:06:49,7,No,,No,Nothing,Naturally,Less than 15 minutes,
8/3/2022 7:43:21,8,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/4/2022 9:23:39,8,No,,No,Nothing,Naturally,Less than 15 minutes,
8/5/2022 8:38:03,7,No,,No,Nothing,Someone or something else woke me up,Less than 15 minutes,
8/6/2022 8:17:03,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/7/2022 8:38:28,7,No,,No,A late a long nap,With an alarm,Less than 15 minutes,
8/8/2022 8:27:05,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/9/2022 8:14:51,8,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/10/2022 8:47:49,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/11/2022 8:07:30,6,Yes,I stayed in bed trying to sleep,Yes,Nothing,With an alarm,Less than 15 minutes,
8/12/2022 9:58:47,5,Yes,I went to drink water,Yes,Nothing,With an alarm,Less than 15 minutes,
8/13/2022 8:39:25,6,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/14/2022 7:26:49,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/15/2022 9:42:03,6,No,,Yes,Nothing,Naturally,Less than 15 minutes,
8/16/2022 9:32:25,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/17/2022 8:01:38,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/18/2022 7:43:25,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/19/2022 8:40:02,6,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/20/2022 9:35:43,5,No,,Yes,Nothing,Someone or something else woke me up,Less than 15 minutes,
8/21/2022 7:11:42,6,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/22/2022 7:32:59,7,Yes,"I used a smart device (phone, laptop...), I went to the toilet",No,Nothing,Naturally,Less than 15 minutes,
8/23/2022 7:41:45,6,No,,Yes,Nothing,Naturally,Less than 15 minutes,
8/24/2022 8:25:33,6,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
